País,Número departamento,Departamento,Provincia,Número municipio,Municipio,Circunscripción,Localidad,Recinto,Número Mesa,Código Mesa,Elección,Inscritos,CC,FPV,MTS,UCS,MAS - IPSP,21F,PDC,MNR,PAN-BOL,Votos Válidos,Blancos,Nulos,Estado acta
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Esc. Gral. Jose Manuel Pando,22401,100320207290230511,Diputados Uninominales,54,13,0,0,1,22,2,0,1,1,39,12,2,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Esc. Ladislao Cabrera,22402,100320207290230601,Presidente y Vicepresidente,218,83,0,3,0,96,2,7,2,1,194,1,2,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Esc. Ladislao Cabrera,22402,100320207290230601,Diputados Uninominales,218,66,0,4,3,75,5,0,3,6,162,33,2,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Esc. Ladislao Cabrera,22403,100320207290230602,Presidente y Vicepresidente,211,80,1,4,2,85,3,18,0,2,195,2,3,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Esc. Ladislao Cabrera,22403,100320207290230602,Diputados Uninominales,211,74,0,5,2,71,7,0,1,2,162,35,3,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Esc. Ladislao Cabrera,22404,100320207290230603,Presidente y Vicepresidente,222,88,0,2,1,89,2,13,1,2,198,1,4,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Esc. Ladislao Cabrera,22404,100320207290230603,Diputados Uninominales,222,72,0,9,3,68,7,0,1,2,162,36,5,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Esc. Ladislao Cabrera,22406,100320207290230605,Presidente y Vicepresidente,218,81,0,4,0,82,2,22,1,1,193,1,7,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Esc. Ladislao Cabrera,22406,100320207290230605,Diputados Uninominales,218,72,0,8,2,60,4,0,5,2,153,40,8,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Esc. Ladislao Cabrera,22408,100320207290230607,Presidente y Vicepresidente,223,83,0,4,0,90,2,19,1,0,199,3,2,Computada
